0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g

0.123s	14.62psia	21.87°C	0.716LPM	0.986mg/s	3.360g

0.184s	14.61psia	21.88°C	0.681LPM	0.938mg/s	3.360g

0.245s	14.63psia	21.87°C	0.672LPM	0.927mg/s	3.360g

0.306s	14.63psia	21.87°C	0.671LPM	0.925mg/s	3.360g

0.366s	14.61psia	21.87°C	0.672LPM	0.927mg/s	3.360g

0.426s	14.62psia	21.87°C	0.674LPM	0.929mg/s	3.360g

0.486s	14.61psia	21.87°C	0.674LPM	0.929mg/s	3.360g

0.546s	14.61psia	21.87°C	0.676LPM	0.931mg/s	3.360g

0.607s	14.61psia	21.87°C	0.676LPM	0.932mg/s	3.360g

0.667s	14.63psia	21.87°C	0.676LPM	0.932mg/s	3.360g

0.727s	14.64psia	21.87°C	0.676LPM	0.932mg/s	3.361g

0.788s	14.61psia	21.87°C	0.675LPM	0.931mg/s	3.361g

0.848s	14.61psia	21.86°C	0.674LPM	0.929mg/s	3.361g

0.908s	14.63psia	21.87°C	0.673LPM	0.927mg/s	3.361g

0.968s	14.63psia	21.87°C	0.674LPM	0.929mg/s	3.361g

1.028s	14.59psia	21.88°C	0.673LPM	0.927mg/s	3.361g

1.088s	14.64psia	21.87°C	0.672LPM	0.927mg/s	3.361g

1.149s	14.61psia	21.86°C	0.672LPM	0.925mg/s	3.361g

1.209s	14.64psia	21.87°C	0.671LPM	0.926mg/s	3.361g

1.269s	14.64psia	21.87°C	0.671LPM	0.925mg/s	3.361g

1.329s	14.64psia	21.87°C	0.670LPM	0.926mg/s	3.361g

1.390s	14.59psia	21.87°C	0.671LPM	0.925mg/s	3.361g

1.450s	14.57psia	21.86°C	0.671LPM	0.924mg/s	3.361g

1.510s	14.64psia	21.87°C	0.670LPM	0.924mg/s	3.361g

1.571s	14.58psia	21.87°C	0.670LPM	0.922mg/s	3.361g

1.631s	14.64psia	21.87°C	0.671LPM	0.926mg/s	3.361g

1.691s	14.61psia	21.88°C	0.670LPM	0.924mg/s	3.361g

1.751s	14.64psia	21.86°C	0.671LPM	0.926mg/s	3.361g

1.811s	14.61psia	21.87°C	0.670LPM	0.923mg/s	3.361g

1.871s	14.62psia	21.87°C	0.670LPM	0.923mg/s	3.362g

1.932s	14.64psia	21.87°C	0.670LPM	0.924mg/s	3.362g

1.992s	14.61psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.053s	14.64psia	21.86°C	0.671LPM	0.925mg/s	3.362g

2.113s	14.60psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.173s	14.63psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.233s	14.62psia	21.88°C	0.670LPM	0.924mg/s	3.362g

2.293s	14.63psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.353s	14.61psia	21.86°C	0.670LPM	0.923mg/s	3.362g

2.413s	14.59psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.473s	14.62psia	21.87°C	0.670LPM	0.925mg/s	3.362g

2.534s	14.61psia	21.87°C	0.670LPM	0.925mg/s	3.362g

2.594s	14.63psia	21.87°C	0.670LPM	0.925mg/s	3.362g

2.654s	14.61psia	21.86°C	0.670LPM	0.923mg/s	3.362g

2.715s	14.62psia	21.87°C	0.670LPM	0.923mg/s	3.362g

2.775s	14.59psia	21.87°C	0.670LPM	0.925mg/s	3.362g

2.836s	14.58psia	21.87°C	0.670LPM	0.924mg/s	3.362g

2.896s	14.59psia	21.89°C	0.671LPM	0.925mg/s	3.362g

2.956s	14.76psia	21.87°C	0.594LPM	0.824mg/s	3.363g

3.017s	14.95psia	21.88°C	0.543LPM	0.768mg/s	3.363g

3.077s	15.23psia	21.86°C	0.510LPM	0.733mg/s	3.363g

3.137s	15.40psia	21.87°C	0.482LPM	0.700mg/s	3.363g

3.197s	15.65psia	21.87°C	0.453LPM	0.669mg/s	3.363g

3.257s	15.80psia	21.86°C	0.426LPM	0.635mg/s	3.363g

3.318s	16.01psia	21.88°C	0.401LPM	0.606mg/s	3.363g

3.378s	16.24psia	21.87°C	0.378LPM	0.578mg/s	3.363g

3.438s	16.40psia	21.87°C	0.356LPM	0.550mg/s	3.363g

3.498s	16.57psia	21.87°C	0.334LPM	0.522mg/s	3.363g

3.567s	16.74psia	21.87°C	0.314LPM	0.496mg/s	3.363g

3.627s	16.88psia	21.87°C	0.296LPM	0.472mg/s	3.363g

3.687s	17.02psia	21.87°C	0.280LPM	0.449mg/s	3.363g

3.755s	17.18psia	21.86°C	0.263LPM	0.425mg/s	3.363g

3.816s	17.26psia	21.86°C	0.248LPM	0.404mg/s	3.363g

3.876s	17.41psia	21.87°C	0.235LPM	0.385mg/s	3.363g

3.936s	17.50psia	21.87°C	0.223LPM	0.368mg/s	3.363g

3.996s	17.58psia	21.87°C	0.212LPM	0.351mg/s	3.363g

4.056s	17.71psia	21.87°C	0.201LPM	0.335mg/s	3.363g

4.116s	17.83psia	21.87°C	0.191LPM	0.321mg/s	3.363g

4.177s	17.89psia	21.87°C	0.182LPM	0.307mg/s	3.363g

4.237s	18.01psia	21.87°C	0.174LPM	0.294mg/s	3.363g

4.297s	18.08psia	21.87°C	0.165LPM	0.281mg/s	3.363g

4.357s	18.14psia	21.86°C	0.157LPM	0.269mg/s	3.363g

4.418s	18.24psia	21.87°C	0.150LPM	0.257mg/s	3.363g

4.478s	18.31psia	21.87°C	0.144LPM	0.248mg/s	3.363g

4.539s	18.37psia	21.87°C	0.137LPM	0.238mg/s	3.363g

4.600s	18.44psia	21.87°C	0.131LPM	0.228mg/s	3.363g

4.660s	18.50psia	21.87°C	0.125LPM	0.219mg/s	3.363g

4.720s	18.57psia	21.87°C	0.120LPM	0.210mg/s	3.363g

4.781s	18.61psia	21.87°C	0.115LPM	0.201mg/s	3.363g

4.841s	18.66psia	21.87°C	0.110LPM	0.193mg/s	3.363g

